u,v,key,length,p_hazard_oct,p_buffer_hazard_oct
6101950261,6115281759,0,1112.3298405039332,0.06521739130434782,0.14972677595628414
6102076182,13058638450,0,573.1464043394858,,
6102082526,5779959491,0,328.70046047981793,,
6102082568,6101924763,0,1317.0775378573585,,
6102222797,6102222803,1,156.96052363667872,,
6102222803,6102222797,1,156.96052363667872,,
6105047890,2394032604,0,1727.640815444971,,
6105060754,6105060759,0,666.002321674954,,
6114619746,8647011857,0,344.21344524228016,,
6115449981,6115449935,0,2149.269631357883,,
6115456404,245749879,0,229.8575146325844,,
6627260169,8647011933,0,30.52274105187067,,
6627260169,8665788514,0,12.292542514049515,,
6627260182,6627298085,0,428.5766903800221,,
6627260182,8647011903,0,59.15609250421566,,
6627298094,8646800073,0,848.6888734088013,,
6627298103,6627298104,0,121.92689699964464,,
6627298113,6627298114,0,76.94863116413936,,
6627298114,6627298113,0,76.94863116413936,,
6627298123,8646800064,0,146.45441879527672,,
6627298242,5812660258,0,228.71499988142935,,
7700632339,12600257423,0,4174.549377529288,0.047619047619047616,0.06307646533769712
7779987212,7779987219,0,702.4951220768271,0.3333333333333333,0.44299674267100975
7779987219,5054904223,0,645.084445579263,0.037037037037037035,0.21454545454545454
7779987219,7779987212,0,702.4951220768271,0.3333333333333333,0.44299674267100975
7814556399,7814723311,0,174.2020432233071,,
8646747960,8646747981,0,552.8338856801392,,
8646747981,6627298094,0,192.72514345866952,,
8646800027,8646878673,0,42.57776921526001,,
8646878693,8646878699,0,61.927321956304446,,
8647011821,8665829381,0,7.013501870835282,,
8647011933,6627260182,0,319.40303832261685,,
8647011954,8647011947,0,4.043685838764442,,
8647011954,8647011960,0,56.99372301191539,,
8647011970,5779960783,0,72.66423201665857,,
9395489574,9395489703,0,26.183847946307097,,
9395489700,9395489574,0,135.42571363353738,,
9395489752,9395489947,0,263.09219964257574,,
9395490079,5783970769,0,405.5255096120138,,
10229441699,10211003305,0,308.4639255092258,,
11184925854,5783970465,0,1673.2247744737278,0.058823529411764705,0.11908284023668639
11184925969,11184925854,0,789.6098009336147,0.36363636363636365,0.2984375
11297399708,6115449892,0,1821.7989388222927,,
11665421756,11665421815,0,1296.8624827820172,0.1320754716981132,0.17435424354243542
11665421774,12037340969,0,333.96824065334533,0.4666666666666667,0.33559322033898303
11665421815,11665421756,0,1296.8624827820177,0.1320754716981132,0.17435424354243542
11665421837,11665421826,0,885.3172144398782,0.35135135135135137,0.3936899862825789
11665421894,11665418056,0,5046.5044734342455,0.3627450980392157,0.453861097620204
11920763156,6627298122,0,168.87940738014558,,
11926973482,11926976197,0,3931.5785403936966,,
11926976083,11926973484,0,310.07135409031685,,
11926976197,11926973482,0,3931.5785403936948,,
11931554257,11926976112,0,2578.2398328026457,,
11978949367,11979012245,0,36.90859577987048,,
11979012245,11978949367,0,36.90859577987048,,
12033907198,11184940135,0,542.9486232195936,0.13043478260869565,0.3326271186440678
12033907258,11184940135,0,1105.3482800665265,0.043478260869565216,0.05142231947483589
12037341476,11665418003,0,1075.4962594138376,0.1590909090909091,0.25245901639344265
13058652611,6114715489,0,82.44804109978881,,
13144697830,11665421809,0,482.1536188730844,0.0,0.027649769585253458
13144697880,13144698108,0,202.47726436040392,0.2,0.25888324873096447
13144698059,13144698035,0,26.476118048334275,0.0,0.3157894736842105
13144698144,13144697893,0,900.7053356993925,0.2972972972972973,0.36114911080711354
